1	11
2	3
3	0
4	11
5	0
6	7
7	6
8	14
9	1
10	4
11	14
12	12
13	6
14	7
15	1
16	7
17	4
18	9
19	5
20	-3
21	6
22	15
23	1
24	2
25	12
26	9
27	8
28	11
29	7
30	11
31	9
32	10
33	8
34	11
35	10
36	4
37	4
38	11
39	5
40	9
41	4
42	0
43	3
44	8
45	11
46	2
47	10
48	5
49	6
50	4
51	8
52	10
53	3
54	4
55	8
56	6
57	9
58	9
59	4
60	5
61	8
62	1
63	6
64	5
65	14
66	4
67	4
68	12
69	8
70	8
71	9
72	8
73	3
74	4
75	5
76	6
77	10
78	-1
79	7
80	5
81	1
82	7
83	2
84	4
85	4
86	5
87	-2
88	6
89	5
90	11
91	0
92	4
93	7
94	5
95	7
96	11
97	9
98	5
99	5
100	5
